,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-03-27 07:00:00,0.2846229999999821,0.4646253499999986,0.11384549999999649,0.11332088303080212,0.7455769966109527,0.38327808785145595,-0.4988796789764788,-0.17763181647411355
2025-03-27 07:15:00,0.2963400000000007,0.4749099999999995,0.11550524999999823,0.11888374394637324,0.7537317189210182,0.38030146125128245,-0.49917174911240175,-0.18220374319573432
2025-03-27 07:30:00,0.2963400000000007,0.4646253499999986,0.11333674999999843,0.11419701017735306,0.7528604046078069,0.38097136389565406,-0.4969945666520939,-0.1789896125646942
2025-03-27 07:45:00,0.29755349999999225,0.4646253499999986,0.11333674999999843,0.11853687291758774,0.7537097528720412,0.36264395349058387,-0.504631930103158,-0.19086944752420615
2025-03-27 08:00:00,0.29755349999999225,0.45361149999999917,0.11333674999999843,0.11853687291758774,0.7594362473420563,0.3629167395457091,-0.5005053841734902,-0.18722383782334712
2025-03-27 08:15:00,0.2963400000000007,0.4749099999999995,0.11440714999999813,0.11888374394637324,0.7642892821846247,0.3601652935062121,-0.50003937531027,-0.19223552249554868
2025-03-27 08:30:00,0.2963400000000007,0.482451649999998,0.11171400000000276,0.11419701017735306,0.767551317977719,0.3512156027754196,-0.504984035019585,-0.2045061294358878
2025-03-27 08:45:00,0.2911929999999785,0.482451649999998,0.11437725000000398,0.1176607457710368,0.7687234038231001,0.3490304902485008,-0.5040243743651878,-0.20487470324268955
2025-03-27 09:00:00,0.2846229999999821,0.482451649999998,0.11065290000000161,0.11782706149072908,0.7690572885628775,0.3416696407308716,-0.5041722823095989,-0.20079576172904215
2025-03-27 09:15:00,0.2911929999999785,0.4728516999999961,0.11065290000000161,0.11926426003094903,0.7799766221216482,0.4373324027602686,-0.4749170772081918,-0.22648397029266162
2025-03-27 09:30:00,0.2891184999999865,0.5037033499999986,0.11065290000000161,0.11419701017735306,0.7903967004799004,0.44137433289519307,-0.4781102770592529,-0.24015467735473003
2025-03-27 09:45:00,0.29774899999999604,0.5037033499999986,0.10386979999999824,0.1176607457710368,0.7913534658234396,0.4411337995898331,-0.46910693410783944,-0.2549729852580167
2025-03-27 10:00:00,0.30497050000001025,0.5029936999999975,0.11065290000000161,0.11419701017735306,0.7942147829526967,0.4495240169070301,-0.45350720237113645,-0.2535634001266428
2025-03-27 10:15:00,0.30497050000001025,0.5097223999999994,0.11437725000000398,0.12449501905762261,0.7819623269872427,0.44793870852739726,-0.4106915276649494,-0.21542861573379196
2025-03-27 10:30:00,0.29831649999999854,0.5076777499999992,0.11033925000000266,0.11853687291758774,0.7612101347045789,0.4238309043606231,-0.398565423123894,-0.21020597213728362
2025-03-27 10:45:00,0.30497050000001025,0.482451649999998,0.11303239999999803,0.11853687291758774,0.7637498267763079,0.42440793293683954,-0.39964886275316996,-0.21037858433006063
2025-03-27 11:00:00,0.30497050000001025,0.482451649999998,0.11303239999999803,0.11725346168432438,0.766816312352113,0.42521680281665564,-0.40283903761981765,-0.21168086065299954
2025-03-27 11:15:00,0.30652200000000107,0.482451649999998,0.11673420000000334,0.11749367777475683,0.7630745558327252,0.4150803027521316,-0.3894562755091417,-0.21514937418586336
2025-03-27 11:30:00,0.30652200000000107,0.482451649999998,0.11673420000000334,0.12473523514805507,0.7776045847322145,0.41668419235936016,-0.3882783323812417,-0.20600545365505307
2025-03-27 11:45:00,0.30652200000000107,0.5076777499999992,0.11673420000000334,0.12855129781836538,0.7847635349356302,0.4403695268176103,-0.371218263137734,-0.22578256299758181
2025-03-27 12:00:00,0.305373000000003,0.5230850999999994,0.11942734999999871,0.1303794092855135,0.7905960480172372,0.4580952766704199,-0.36161829558352043,-0.22855550875562458
2025-03-27 12:15:00,0.29604500000000655,0.5222827000000017,0.11942734999999871,0.13156765064614717,0.7891672524782272,0.4591543127868739,-0.3630168662920091,-0.2329737409071603
2025-03-27 12:30:00,0.3080125000000038,0.5222827000000017,0.12052544999999881,0.1303794092855135,0.7890503529892584,0.49080174741360083,-0.3593392603802897,-0.23008769120632036
2025-03-27 12:45:00,0.3138194999999939,0.5164672000000028,0.12194390000000155,0.12855129781836538,0.7898541382154872,0.49606604964418116,-0.35789211111025243,-0.22387140245760492
2025-03-27 13:00:00,0.32123349999999107,0.5242926000000043,0.12355424999999798,0.1347496600488327,0.7896426141619691,0.4968414108616911,-0.35569596642903895,-0.22062734942347617
2025-03-27 13:15:00,0.3138194999999939,0.5146382999999997,0.1270977000000002,0.13750650378952756,0.7909780536662582,0.4944694423899951,-0.3566964318313405,-0.22201623389688654
2025-03-27 13:30:00,0.3138194999999939,0.5076777499999992,0.1270977000000002,0.1347496600488327,0.794043425440406,0.49516103244789317,-0.3585792706840941,-0.22209750745136705
2025-03-27 13:45:00,0.3191589999999991,0.5076777499999992,0.12651080000000192,0.14210587561684918,0.7940081506212092,0.49334126560392777,-0.3582250123229331,-0.22467603587805335
2025-03-27 14:00:00,0.32123349999999107,0.5146382999999997,0.12569230000000076,0.14210587561684918,0.797410227147408,0.4927141027681878,-0.3578933536099229,-0.21943106408726518
2025-03-27 14:15:00,0.3288419999999945,0.5146382999999997,0.12569230000000076,0.14210587561684918,0.7987126812483352,0.4994569846344734,-0.3525419570300403,-0.21132800501578422
2025-03-27 14:30:00,0.32944450000000813,0.5154384999999984,0.12569230000000076,0.14210587561684918,0.7974796857217625,0.4920626219487878,-0.3541850858968406,-0.21646126290543474
2025-03-27 14:45:00,0.32384300000001076,0.5223990499999989,0.1291274499999986,0.13061962537594596,0.800890265934107,0.49320354237361586,-0.36191428249992186,-0.2093834377561934
2025-03-27 15:00:00,0.32591750000000275,0.5154384999999984,0.1315457500000008,0.13663691140406797,0.8018694995681532,0.4915604175145917,-0.36181660966797324,-0.21285880977111515
2025-03-27 15:15:00,0.32591750000000275,0.5086192499999989,0.13290024999999872,0.13224449860558352,0.8011021661137653,0.4848234052819664,-0.3660842867556022,-0.22219346181021493
2025-03-27 15:30:00,0.32591750000000275,0.5154384999999984,0.1291274499999986,0.13156765064614717,0.8005886722613076,0.48438039811357636,-0.3674675931461106,-0.22655799229148396
2025-03-27 15:45:00,0.3286964999999782,0.5224933500000013,0.12431629999999672,0.13224449860558352,0.7999593977276566,0.48186347827299375,-0.36693899309022304,-0.22859907085336156
2025-03-27 16:00:00,0.332320999999979,0.5224933500000013,0.1315692999999989,0.13349022199022187,0.7900531680720451,0.7322801184585743,0.14434603246635233,-0.31633368585838023
2025-03-27 16:15:00,0.3360140000000058,0.5293772500000031,0.1350870999999998,0.12666796369440902,0.7889583319646728,0.7823677162107208,0.23541692603316597,-0.3129936163379788
2025-03-27 16:30:00,0.3419724999999829,0.5293772500000031,0.1356629500000004,0.12693051076988482,0.7788314529402742,0.7965345299436931,0.21471151569237143,-0.3688064964339205
2025-03-27 16:45:00,0.346053999999981,0.5176383499999986,0.14640699999999995,0.12693051076988482,0.778569398751589,0.7919900921668125,0.20610744368615247,-0.3704450212287189
2025-03-27 17:00:00,0.346053999999981,0.506745200000001,0.13423144999999792,0.1359814956142742,0.7798201334344596,0.796529832292797,0.24147482909669923,-0.3703588774767054
2025-03-27 17:15:00,0.3419724999999829,0.5086192499999989,0.14669484999999938,0.12693051076988482,0.7797863100690366,0.8016349962382109,0.26291126744552906,-0.36107227102937156
2025-03-27 17:30:00,0.3391859999999838,0.4998612999999992,0.14669484999999938,0.1359814956142742,0.7812710860133587,0.7958565284109304,0.2500632943286733,-0.35681598489967836
2025-03-27 17:45:00,0.3419724999999829,0.5086192499999989,0.14669484999999938,0.1359814956142742,0.7857436509510787,0.7944015752176291,0.24709316367136397,-0.3596363166409609
2025-03-27 18:00:00,0.3419724999999829,0.5076777499999992,0.14669484999999938,0.1359814956142742,0.7911246575415163,0.7957966854545441,0.2750388967526484,-0.3720771933962175
2025-03-27 18:15:00,0.3419724999999829,0.5076777499999992,0.14669484999999938,0.1359814956142742,0.7898033652994075,0.797412604652895,0.270635179891605,-0.374211788370427
2025-03-27 18:30:00,0.3419724999999829,0.5222827000000017,0.13423144999999792,0.1359814956142742,0.7937195990659955,0.7975217793524265,0.27123102859616843,-0.3765193615274539
2025-03-27 18:45:00,0.3492004999999807,0.5076777499999992,0.14199584999999715,0.1342152235612346,0.7992081579357334,0.8028990821092543,0.28117756840300523,-0.3853941593622183
2025-03-27 19:00:00,0.35720799999999997,0.5076777499999992,0.13423144999999792,0.1342152235612346,0.7919952836134462,0.8061493331080156,0.2879434456128884,-0.4178055480610269
2025-03-27 19:15:00,0.36553200000000174,0.5147326000000021,0.14199584999999715,0.1342152235612346,0.789205057120316,0.8057914267091091,0.2909460737711035,-0.42160352896271724
2025-03-27 19:30:00,0.35720799999999997,0.5029936999999975,0.14062835000000007,0.1342152235612346,0.7887562625585626,0.8053356710224224,0.2911427169332584,-0.41958540964006796
2025-03-27 19:45:00,0.35720799999999997,0.5224933500000013,0.14765309999999943,0.1316415143974048,0.7913237215160284,0.8068622085048676,0.28691464580774617,-0.4187158403850523
2025-03-27 20:00:00,0.35720799999999997,0.5293772500000031,0.14062835000000007,0.1410362229246651,0.7890905036962691,0.8097409814791917,0.28962462405907463,-0.4222383455418236
2025-03-27 20:15:00,0.3573714999999851,0.5176383499999986,0.1393822500000006,0.1316415143974048,0.78654961051346,0.8102421331417881,0.2907261745802593,-0.42396176747218645
2025-03-27 20:30:00,0.3573714999999851,0.5224933500000013,0.1440614999999994,0.1342152235612346,0.7808272203082596,0.8065780877108979,0.2941134761881035,-0.4211923421590889
2025-03-27 20:45:00,0.3573714999999851,0.5224933500000013,0.14765309999999943,0.1342152235612346,0.7758915563222102,0.8092518642210531,0.30295820250599154,-0.4269532043896651
2025-03-27 21:00:00,0.3573714999999851,0.5224933500000013,0.15098649999999836,0.1316415143974048,0.7773218472942027,0.8213642052155047,0.3231555412996863,-0.4096181689515757
2025-03-27 21:15:00,0.3573714999999851,0.5342976000000057,0.14765309999999943,0.12893492473068946,0.778529433478046,0.822582188578967,0.3261928624218658,-0.4110493311280029
2025-03-27 21:30:00,0.3573714999999851,0.5418357500000006,0.1491693000000005,0.12728250720291712,0.7753679445767357,0.8241821197975923,0.3274387526223726,-0.41183299129424455
2025-03-27 21:45:00,0.3633859999999913,0.5342976000000057,0.14401849999999783,0.12728250720291712,0.7761710571361019,0.8248326459939955,0.35266505339591425,-0.41176638890979317
2025-03-27 22:00:00,0.36598200000000247,0.5147326000000021,0.14062835000000007,0.12617553205392085,0.7758082261112077,0.8260491097907335,0.35100053262750086,-0.41546937566884184
2025-03-27 22:15:00,0.37387699999999313,0.491686099999999,0.13995784999999827,0.1335060292315049,0.7767186983227777,0.8263271629400394,0.35502042963342334,-0.4156833959455637
2025-03-27 22:30:00,0.40192250000001195,0.491686099999999,0.14401849999999783,0.12440085226695174,0.7778826793658158,0.8280018476568355,0.3554049105929575,-0.41716387758515183
2025-03-27 22:45:00,0.39942400000001044,0.491686099999999,0.13995784999999827,0.12495979120023648,0.7761324524906282,0.8291525065472096,0.358524759902454,-0.42001881911709854
2025-03-27 23:00:00,0.3889144999999985,0.48441609999999713,0.13995784999999827,0.12637968891234053,0.7742133249710829,0.8292575832031759,0.3585281762366923,-0.4195653141140635
