,EE,EE_pred,resid,resid_pct
2025-04-06 04:15:00,45.1707344,45.77457942247425,-0.6038450224742462,-1.3191710990964833
2025-04-06 04:30:00,45.225,45.62225506431426,-0.3972550643142583,-0.8707484181881033
2025-04-06 04:45:00,45.2405968,45.66604120180852,-0.4254444018085195,-0.9316428370227778
2025-04-06 05:00:00,44.5371552,45.55437460329983,-1.0172194032998263,-2.232978527656358
2025-04-06 05:15:00,44.3890038,45.33525781218701,-0.946254012187012,-2.0872364200665037
2025-04-06 05:30:00,44.9101,45.70660975549773,-0.7965097554977305,-1.7426577025917436
2025-04-06 05:45:00,44.6823235,45.574832189828804,-0.8925086898288015,-1.958336755056638
2025-04-06 06:00:00,44.5122871,45.13456286221929,-0.6222757622192887,-1.3787122833534209
2025-04-06 06:15:00,44.20031,44.84093786713033,-0.6406278671303269,-1.4286674133101154
2025-04-06 06:30:00,43.8883362,44.547313039985234,-0.658976839985236,-1.4792740459873412
2025-04-06 06:45:00,43.57636,44.25368862086129,-0.6773286208612888,-1.5305585635227579
2025-04-06 07:00:00,43.2643852,43.96006050951849,-0.6956753095184922,-1.5825167241702511
2025-04-06 07:15:00,42.9524078,43.666434587640815,-0.7140267876408117,-1.6351845402164051
2025-04-06 07:30:00,42.6404343,43.37281063628178,-0.7323763362817743,-1.6885609337688032
2025-04-06 07:45:00,42.3284569,43.079185860139326,-0.7507289601393268,-1.7426721168237482
2025-04-06 08:00:00,42.0164833,42.78555793787117,-0.7690746378711708,-1.7975098957174818
2025-04-06 08:15:00,41.7045059,42.49193321273136,-0.78742731273136,-1.8531218826622657
2025-04-06 08:30:00,41.3925323,42.19830828358097,-0.8057759835809719,-1.909498310136032
2025-04-06 08:45:00,41.080555,41.90468345643588,-0.8241284564358864,-1.966673861867136
2025-04-06 09:00:00,40.76858,41.61105553416772,-0.8424755341677184,-2.02464350724279
2025-04-06 09:15:00,40.456604,41.31743060501733,-0.8608266050173299,-2.083446604525298
2025-04-06 09:30:00,40.14463,41.02380593088017,-0.879175930880173,-2.1430871927423585
2025-04-06 09:45:00,39.832653,40.73018088478856,-0.897527884788559,-2.2035941537489157
2025-04-06 10:00:00,39.52068,40.43655646566462,-0.9158764656646241,-2.2649714657139772
2025-04-06 10:15:00,39.2087021,40.14292835432182,-0.9342262543218212,-2.327249885897379
2025-04-06 10:30:00,38.89673,39.849303527176716,-0.9525735271767175,-2.3904395883031544
2025-04-06 10:45:00,38.58475,39.55567848108511,-0.9709284810851102,-2.4545868466126617
2025-04-06 11:00:00,38.2727776,39.26205515669375,-0.9892775566937502,-2.51967848536092
2025-04-06 11:15:00,37.9608,38.968426877407076,-1.007626877407077,-2.58575200014367
2025-04-06 11:30:00,37.6488266,38.674800955529406,-1.0259743555294065,-2.6528238806170794
2025-04-06 11:45:00,37.33685,38.381176128384304,-1.0443261283843057,-2.7209331076542695
2025-04-06 12:00:00,37.0248756,38.087551709260374,-1.062676109260373,-2.7900877362038483
2025-04-06 12:15:00,36.7129021,37.79392688211527,-1.0810247821152714,-2.8603134717573653
2025-04-06 12:30:00,36.4009247,37.500298551825956,-1.099373851825959,-2.9316402649611133
2025-04-06 12:45:00,36.08895,37.2066737756835,-1.1177237756835012,-3.004094863255398
2025-04-06 13:00:00,35.7769737,36.91304935655957,-1.1360756565595693,-3.0777074134019897
2025-04-06 13:15:00,35.465,36.61942299678887,-1.1544229967888668,-3.1524882215923973
2025-04-06 13:30:00,35.1530228,36.325794666499554,-1.1727718664995521,-3.2284823422764872
2025-04-06 13:45:00,34.84105,36.03217137198004,-1.1911213719800386,-3.305716326899741
2025-04-06 14:00:00,34.52907,35.738546952856126,-1.2094769528561287,-3.3842365064578277
2025-04-06 14:15:00,34.2171,35.444921906764506,-1.227821906764504,-3.464027682143601
2025-04-06 14:30:00,33.90512,35.151293846424345,-1.2461738464243481,-3.545172055028385
2025-04-06 14:45:00,33.5931473,34.85766901927924,-1.2645217192792444,-3.627671484802546
2025-04-06 15:00:00,33.28117,34.5640443812088,-1.2828743812087993,-3.7115864308583366
2025-04-06 15:15:00,32.9691963,34.27041911617067,-1.3012228161706716,-3.796927057587933
2025-04-06 15:30:00,32.65722,33.9767947269186,-1.3195747269185958,-3.8837528304962325
2025-04-06 15:45:00,32.3452454,33.68316639662928,-1.337920996629279,-3.972076083569051
2025-04-06 16:00:00,32.033268,33.389541977505345,-1.3562739775053458,-4.061972393688636
2025-04-06 16:15:00,31.7212944,33.095917201362894,-1.374622801362893,-4.15345129430734
2025-04-06 16:30:00,31.4093189,32.8022923742178,-1.3929734742178006,-4.246573557501306
2025-04-06 16:45:00,31.0973434,32.508664043928476,-1.4113206439284767,-4.341367710532121
2025-04-06 17:00:00,30.785368,32.21503962480455,-1.4296716248045485,-4.437901183594222
2025-04-06 17:15:00,30.4733925,31.921415235552477,-1.4480227355524775,-4.536210957024681
2025-04-06 17:30:00,30.161417,31.62778997051435,-1.4663729705143496,-4.636343455807078
2025-04-06 17:45:00,29.8494415,31.334161691227674,-1.484720191227673,-4.73834342803987
2025-04-06 18:00:00,29.537466,31.040537272103748,-1.5030712721037496,-4.842284973767402
