,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1,Admission_HP_GTA_JFC2,Soutirage_BP_GTA_JFC2,Prod_EE_GTA_JFC2,Admission_HP_GTA_JFC3,Soutirage_MP_GTA_JFC3,Soutirage_BP_GTA_JFC3,Prod_EE_GTA_JFC3,Admission_HP_GTA_JFC4,Soutirage_BP_GTA_JFC4,Prod_EE_GTA_JFC4
78,2025-01-01 20:30:00,186.2394,31.2256527,,185.3775,26.7202663,41.1665268,186.573578,8.939619e-17,52.84864,36.910675,190.011215,110.300194,42.0050659
79,2025-01-01 20:45:00,184.896622,31.3370914,,185.294052,29.4326763,40.8029976,186.123871,8.939619e-17,52.8260765,36.7674026,189.713562,108.854668,41.8886452
80,2025-01-01 21:00:00,185.249191,31.6059971,,185.175247,28.73122,40.8315125,185.959839,8.939619e-17,52.8232,36.86962,188.9034,108.091751,41.8779869
81,2025-01-01 21:15:00,184.101822,30.6714058,,185.056458,28.0297642,40.8600273,184.358276,8.939619e-17,56.18839,36.3588371,189.751755,108.592941,41.854538
82,2025-01-01 21:30:00,186.8596,31.7715359,,184.937653,27.3283062,40.8885422,187.211945,8.939619e-17,52.3276978,36.81134,189.813812,108.089294,42.0553131
83,2025-01-01 21:45:00,184.840256,31.100666,,184.818863,26.62685,40.917057,185.666077,8.939619e-17,52.8415451,36.8567543,189.101044,107.9227,41.92731
84,2025-01-01 22:00:00,186.060364,31.8368912,,184.700058,25.9253941,40.94557,184.1675,8.939619e-17,56.2995529,36.2947,189.542145,107.070816,42.0509262
85,2025-01-01 22:15:00,184.5664,34.99921,,184.581268,25.223938,40.9740868,186.038025,8.939619e-17,54.1942177,36.78222,190.285141,107.485939,41.9958572
86,2025-01-01 22:30:00,185.785568,45.57797,,184.462463,24.5224819,41.0026,185.418411,8.939619e-17,42.5503235,37.63911,190.355118,108.844872,42.1603127
87,2025-01-01 22:45:00,184.529984,47.94273,,184.343674,23.8210239,41.0311165,185.740463,8.939619e-17,35.035408,37.5744858,190.088028,107.291649,41.9622841
88,2025-01-01 23:00:00,190.261017,52.4078026,,184.224869,23.1195679,41.05963,182.766113,8.939619e-17,28.533186,36.7896919,189.6148,108.12236,42.033268
89,2025-01-01 23:15:00,188.791061,52.9943848,,184.106079,22.4181118,41.0881424,181.032684,8.939619e-17,34.2019119,36.6081276,188.596954,107.878326,41.8612938
90,2025-01-01 23:30:00,187.6747,49.4097748,,183.987274,21.7166557,41.1166573,180.6897,8.939619e-17,40.51109,36.64093,188.827454,107.814438,41.6688766
91,2025-01-01 23:45:00,189.887772,29.4359,,183.868484,21.0152,41.1451721,179.237686,8.939619e-17,38.8989029,35.9731445,189.847046,108.315437,41.8827324
92,2025-01-02 00:00:00,189.438263,31.0443344,,183.74968,20.3137417,41.173687,181.722427,8.939619e-17,35.72204,36.60954,189.629883,108.179436,41.9884338
93,2025-01-02 00:15:00,191.141312,32.07716,,183.63089,19.6122856,41.2022,182.892517,8.939619e-17,37.68962,36.8035622,190.320053,108.725441,41.92082
94,2025-01-02 00:30:00,180.534119,31.1568813,,183.362564,19.4324036,41.2319946,182.147629,8.939619e-17,34.77246,36.6027451,190.123932,108.438095,41.86826
95,2025-01-02 00:45:00,187.772919,34.6440964,,183.315491,21.4656563,40.9683266,182.011124,8.939619e-17,35.1782455,36.5162468,189.0705,107.930962,41.7149124
