,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1
23601,2025-09-03 22:15:00,188.431061,38.7292023,41.849762
23602,2025-09-03 22:30:00,188.008728,37.95798,42.23234
23603,2025-09-03 22:45:00,188.571472,39.0878563,42.38574
23604,2025-09-03 23:00:00,188.2834,38.33127,41.996418
23605,2025-09-03 23:15:00,187.668091,36.6209755,42.26152
23606,2025-09-03 23:30:00,187.6028,50.6024246,40.8805237
23607,2025-09-03 23:45:00,159.062622,37.8154,35.349617
23608,2025-09-04 00:00:00,164.589,41.4403419,36.2596474
23609,2025-09-04 00:15:00,187.6497,46.20211,42.13879
23610,2025-09-04 00:30:00,188.236984,40.08561,42.130867
23611,2025-09-04 00:45:00,188.277344,43.188694,41.8958778
23612,2025-09-04 01:00:00,188.196136,42.76978,41.7601357
23613,2025-09-04 01:15:00,187.863968,43.18742,42.2023849
23614,2025-09-04 01:30:00,188.492447,42.082962,41.82185
23615,2025-09-04 01:45:00,188.394363,45.6204643,41.9656563
23616,2025-09-04 02:00:00,187.978363,48.1262474,41.62699
23617,2025-09-04 02:15:00,187.773209,48.89057,41.98895
23618,2025-09-04 02:30:00,188.370026,47.9656067,41.5802956
23619,2025-09-04 02:45:00,188.180176,47.1846466,41.9258461
23620,2025-09-04 03:00:00,188.729889,48.1527863,41.84691
23621,2025-09-04 03:15:00,188.113571,47.741787,41.7500458
23622,2025-09-04 03:30:00,188.076614,41.1304665,42.2186432
23623,2025-09-04 03:45:00,187.5555,44.0137,42.1001854
23624,2025-09-04 04:00:00,188.661423,45.07788,42.07087
23625,2025-09-04 04:15:00,187.678818,37.20367,42.3178825
23626,2025-09-04 04:30:00,188.253326,35.7685776,42.60777
23627,2025-09-04 04:45:00,187.938019,36.7908173,42.563324
23628,2025-09-04 05:00:00,187.813171,37.1418228,42.7102966
23629,2025-09-04 05:15:00,188.2405,38.876442,42.25218
23630,2025-09-04 05:30:00,187.879318,39.2586555,42.349926
23631,2025-09-04 05:45:00,187.949249,38.631752,42.4720268
23632,2025-09-04 06:00:00,188.295517,40.67708,42.7194328
23633,2025-09-04 06:15:00,188.082153,38.58514,42.2637062
23634,2025-09-04 06:30:00,187.8177,38.4833755,42.07178
23635,2025-09-04 06:45:00,188.43576,38.9206,42.5894623
23636,2025-09-04 07:00:00,188.171951,36.3911858,42.7229767
23637,2025-09-04 07:15:00,187.968033,38.1673164,42.66474
23638,2025-09-04 07:30:00,188.749969,38.714138,42.0417442
23639,2025-09-04 07:45:00,188.212875,37.21103,42.5978851
